T_FD[K],N_FD
3.89089211301781e-5,9644394.45013653
3.88973956247404e-5,9644006.39408846
3.88858819247173e-5,9643618.66557281
3.88743799857604e-5,9643231.26319117
3.88628897642736e-5,9642844.18557177
3.88514112154477e-5,9642457.43129631
3.88399442958804e-5,9642070.99899746
3.8828488961611e-5,9641684.88728577
3.88170451694287e-5,9641299.09479829
3.88056128762175e-5,9640913.62017427
3.87941920389561e-5,9640528.46205514
3.87827826147172e-5,9640143.6190845
3.87713845613194e-5,9639759.08993237
3.87599978366738e-5,9639374.8732709
3.87486223981319e-5,9638990.9677501
3.87372582037894e-5,9638607.37204638
3.87259052118336e-5,9638224.08483824
3.87145633811927e-5,9637841.10483052
3.8703232670235e-5,9637458.43070587
3.86919130380684e-5,9637076.06117328
3.86806044432414e-5,9636693.99491954
3.86693068456891e-5,9636312.23068193
3.86580202047859e-5,9635930.76717553
3.86467444799942e-5,9635549.60311745
3.86354796308645e-5,9635168.73722684
3.86242256176819e-5,9634788.16824901
3.86129824008177e-5,9634407.89493123
3.86017499407288e-5,9634027.91602277
3.85905281979577e-5,9633648.23027485
3.85793171331324e-5,9633268.83644067
3.85681167076109e-5,9632889.73329946
3.85569268821898e-5,9632510.91960831
3.8545747618395e-5,9632132.39415031
3.85345788778349e-5,9631754.15571047
3.85234206215574e-5,9631376.20305165
3.85122728119806e-5,9630998.53498673
3.85011354116037e-5,9630621.15033045
3.84900083823634e-5,9630244.04787539
3.84788916862788e-5,9629867.22641597
3.84677852860922e-5,9629490.68477256
3.84566891446257e-5,9629114.42176731
3.84456032254222e-5,9628738.43624825
3.84345274908214e-5,9628362.72701719
3.84234619045244e-5,9627987.29292578
3.84124064296698e-5,9627612.13280348
3.84013610301149e-5,9627237.24550551
3.83903256697939e-5,9626862.62988889
3.83793003127183e-5,9626488.28481238
3.83682849223379e-5,9626114.20911262
3.83572794634565e-5,9625740.40167585
3.83462839009532e-5,9625366.86139004
3.83352981991444e-5,9624993.58712098
3.83243223224223e-5,9624620.57773624
3.83133562358918e-5,9624247.83212896
3.83023999047319e-5,9623875.34919404
3.82914532941957e-5,9623503.12782804
3.82805163696099e-5,9623131.16692926
3.82695890970099e-5,9622759.46542149
3.82586714418687e-5,9622388.02220637
3.82477633697321e-5,9622016.83618723
3.82368648474872e-5,9621645.90631668
3.82259758408237e-5,9621275.23150137
3.82150963155041e-5,9620904.81064961
3.82042262386292e-5,9620534.64271892
3.81933655773691e-5,9620164.72666846
3.81825142976991e-5,9619795.06141141
3.81716723669297e-5,9619425.64591017
3.81608397524406e-5,9619056.47912867
3.81500164210491e-5,9618687.56000873
3.81392023402731e-5,9618318.88751749
3.81283974776991e-5,9617950.46062366
3.81176018009817e-5,9617582.27829752
3.81068152778434e-5,9617214.33951094
3.80960378760749e-5,9616846.64323733
3.80852695641633e-5,9616479.18847535
3.80745103106619e-5,9616111.97422516
3.80637600835618e-5,9615744.99946481
3.80530188515491e-5,9615378.26319753
3.80422865827479e-5,9615011.76440442
3.80315632466037e-5,9614645.50211539
3.8020848811999e-5,9614279.47533821
3.80101432478813e-5,9613913.68308212
3.79994465238894e-5,9613548.12438148
3.79887586090995e-5,9613182.79824852
3.79780794726528e-5,9612817.70369696
3.79674090843797e-5,9612452.83976556
3.79567474141738e-5,9612088.20549456
3.79460944319913e-5,9611723.79992563
3.79354501078509e-5,9611359.62210188
3.79248144118343e-5,9610995.67106787
